title,code,industry,link,Assessing Authority,List Details,ACT_190,ACT_491,ACT_Streams,NT_190,NT_491,NT_Streams,NSW_190,NSW_491,NSW_Streams,QLD_190,QLD_491,QLD_Streams,SA_190,SA_491,SA_Streams,TAS_190,TAS_491,TAS_Streams,VIC_190,VIC_491,VIC_Streams,WA_190,WA_491,WA_Streams
ICT Customer Support Officer,313112,313112,https://www.anzscolookup.com.au/occupations/313112,TRA,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""8 options, 190: 4 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""TRA""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
ICT Managers (NEC),135199,135199,https://www.anzscolookup.com.au/occupations/135199,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""14 options, 190: 7 states, 491: 7 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Project Manager,135112,135112,https://www.anzscolookup.com.au/occupations/135112,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""14 options, 190: 7 states, 491: 7 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Quality Assurance Engineer,263211,263211,https://www.anzscolookup.com.au/occupations/263211,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""10 options, 190: 5 states, 491: 5 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
ICT Sales Representative,225213,225213,https://www.anzscolookup.com.au/occupations/225213,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""8 options, 190: 4 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
ICT Security Specialist,262112,262112,https://www.anzscolookup.com.au/occupations/262112,ACS,"{""SKILLED VISAS"": ""4 available, 189, 190, 491, 485, Subclass 189, Subclass 190, Subclass 491, Subclass 485"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""16 options, 190: 8 states, 491: 8 states"", ""189"": ""\u2713 Eligible, MLTSSL"", ""190"": ""\u2713 Eligible, MLTSSL"", ""491"": ""\u2713 Eligible, MLTSSL"", ""485"": ""\u2713 Eligible, MLTSSL"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, MLTSSL"", ""407"": ""\u2713 Eligible, MLTSSL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u2713 Eligible, \u2713 Eligible"", ""QLD"": ""Queensland, \u2713 Eligible, \u2713 Eligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""MLTSSL"", ""Skilled visas"": ""MLTSSL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""MLTSSL"", ""Training"": ""MLTSSL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Support And Test Engineers (NEC),263299,263299,https://www.anzscolookup.com.au/occupations/263299,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""10 options, 190: 5 states, 491: 5 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
ICT Support Engineer,263212,263212,https://www.anzscolookup.com.au/occupations/263212,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""12 options, 190: 6 states, 491: 6 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Support Technicians (NEC),313199,313199,https://www.anzscolookup.com.au/occupations/313199,TRA,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""12 options, 190: 6 states, 491: 6 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""TRA""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Systems Test Engineer,263213,263213,https://www.anzscolookup.com.au/occupations/263213,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""12 options, 190: 6 states, 491: 6 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u2713 Eligible, \u2713 Eligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u2713 Eligible, \u2713 Eligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
ICT Trainer,223211,223211,https://www.anzscolookup.com.au/occupations/223211,ACS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""7 options, 190: 3 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""ACS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Illustrator,232412,232412,https://www.anzscolookup.com.au/occupations/232412,VETASSESS,"{""SKILLED VISAS"": ""2 available, 190, 491, Subclass 190, Subclass 491"", ""EMPLOYER-SPONSORED"": ""3 available, 482, 186, 494, Subclass 482, Subclass 186, Subclass 494"", ""STATE NOMINATION"": ""8 options, 190: 4 states, 491: 4 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u2713 Eligible, STSOL"", ""491"": ""\u2713 Eligible, STSOL"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u2713 Eligible, CSOL"", ""186"": ""\u2713 Eligible, CSOL"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u2713 Eligible, STSOL"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u2713 Eligible, \u2713 Eligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u2713 Eligible, \u2713 Eligible"", ""TAS"": ""Tasmania, \u2713 Eligible, \u2713 Eligible"", ""VIC"": ""Victoria, \u2713 Eligible, \u2713 Eligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""STSOL, CSOL, ROL"", ""Skilled visas"": ""STSOL"", ""Employer-sponsored"": ""CSOL"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""STSOL"", ""Skilled assessing authorities"": ""VETASSESS""}",Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
importer or exporter,133311,133311,https://www.anzscolookup.com.au/occupations/133311,VETASSESS,"{""SKILLED VISAS"": ""Not available, Not available, Not available"", ""EMPLOYER-SPONSORED"": ""1 available, 494, Subclass 494"", ""STATE NOMINATION"": ""Not available, 190: 0 states, 491: 0 states"", ""189"": ""\u274c Ineligible, Not listed"", ""190"": ""\u274c Ineligible, Not listed"", ""491"": ""\u274c Ineligible, Not listed"", ""485"": ""\u274c Ineligible, Not listed"", ""482"": ""\u274c Ineligible, Not listed"", ""186"": ""\u274c Ineligible, Not listed"", ""494"": ""\u2713 Eligible, ROL"", ""407"": ""\u274c Ineligible, Not listed"", ""ACT"": ""Australian Capital Territory, \u274c Ineligible, \u274c Ineligible"", ""NT"": ""Northern Territory, \u274c Ineligible, \u274c Ineligible"", ""NSW"": ""New South Wales, \u274c Ineligible, \u274c Ineligible"", ""QLD"": ""Queensland, \u274c Ineligible, \u274c Ineligible"", ""SA"": ""South Australia, \u274c Ineligible, \u274c Ineligible"", ""TAS"": ""Tasmania, \u274c Ineligible, \u274c Ineligible"", ""VIC"": ""Victoria, \u274c Ineligible, \u274c Ineligible"", ""WA"": ""Western Australia, \u274c Ineligible, \u274c Ineligible"", ""All applicable lists"": ""ROL"", ""Skilled visas"": ""Not available"", ""Employer-sponsored"": ""Not available"", ""Regional employer-sponsored"": ""ROL"", ""Training"": ""Not available"", ""Skilled assessing authorities"": ""Manual verification required""}",Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
